Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64e630622e9f9cafc2b7e83f,6129cc7a565c9c03752802fa,APPROVED,2023-08-23T16:14:29.753000Z,2023-08-23T16:29:39.903000Z,2023-08-23T16:29:52.336000Z,2023-08-23T16:29:53.560117Z,911,CRSWQ1W7,905,26,Female,Mixed,Canada,United States,United States,English,Yes,Full-Time
64e63085dc9f4f733ffb606c,5765b92cf96b100001f64c9a,APPROVED,2023-08-23T16:15:06.530000Z,2023-08-23T16:35:54.507000Z,2023-08-23T16:35:55.176000,2023-08-23T16:35:55.098471Z,1248,CRSWQ1W7,3281,38,Female,Black,United States,United States,United States,English,No,Full-Time
64e630895f22fcb52efa509e,6402618738abc106f32f8928,APPROVED,2023-08-23T16:15:10.396000Z,2023-08-23T16:53:28.691000Z,2023-08-23T16:53:29.353000,2023-08-23T16:53:29.256504Z,2299,CRSWQ1W7,353,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64e63092e171d883380c7b8f,631c8e97db06f601f81bd82f,APPROVED,2023-08-23T16:15:15.597000Z,2023-08-23T16:25:09.974000Z,2023-08-23T16:25:10.653000,2023-08-23T16:25:10.570755Z,595,CRSWQ1W7,2907,26,Male,White,United States,United States,United States,English,No,Full-Time
64e63094003c6f38b53b88a9,57dd186e6598aa0001992616,APPROVED,2023-08-23T16:16:03.347000Z,2023-08-23T16:26:19.061000Z,2023-08-23T16:26:20.084000,2023-08-23T16:26:20.016844Z,616,CRSWQ1W7,5929,30,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64e630a44f4aeea66ea30b1f,5928b6414a05920001393ecf,APPROVED,2023-08-23T16:15:37.471000Z,2023-08-23T16:39:54.062000Z,2023-08-23T16:39:55.332000,2023-08-23T16:39:55.252315Z,1457,CRSWQ1W7,1190,32,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
64e630bbdd7e6cc6cdba4060,6404a68e53ecf5ee54f0de5e,APPROVED,2023-08-23T16:16:08.073000Z,2023-08-23T16:27:29.689000Z,2023-08-23T16:27:30.314000,2023-08-23T16:27:30.240815Z,682,CRSWQ1W7,904,51,Female,Black,United States,United States,United States,English,Yes,Full-Time
64e630bd2ad4cf92c95b4ac3,643edca8dcd599c6fba5e31b,APPROVED,2023-08-23T16:16:05.454000Z,2023-08-23T16:51:41.035000Z,2023-08-23T16:51:41.635000,2023-08-23T16:51:41.542830Z,2136,CRSWQ1W7,978,60,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
64e630bfb5989f606dfa5079,6098164e4c37ed73ca9c74f5,APPROVED,2023-08-23T16:21:10.315000Z,2023-08-23T16:30:26.121000Z,2023-08-23T16:30:29.208000,2023-08-23T16:30:29.138410Z,556,CRSWQ1W7,2636,21,Female,White,United States,United States,United States,English,Yes,Part-Time
64e630d903d1842931f5cd05,62c97a70d02df972bdfc2718,APPROVED,2023-08-23T16:16:29.774000Z,2023-08-23T16:29:50.820000Z,2023-08-23T16:29:53.730000Z,2023-08-23T16:29:54.472022Z,802,CRSWQ1W7,2815,62,Female,White,United States,United States,United States,English,No,Full-Time
64e630df20896aa3c8ed97cf,6104b1c50f6057c1d8a6e3a6,APPROVED,2023-08-23T16:16:36.343000Z,2023-08-23T16:28:41.027000Z,2023-08-23T16:28:41.578000,2023-08-23T16:28:41.505287Z,725,CRSWQ1W7,1276,27,Female,White,United States,United States,United States,English,No,Full-Time
64e630fae1ba2a86f446791c,63804d105c37525d499b9c6c,APPROVED,2023-08-23T16:18:14.752000Z,2023-08-23T16:36:48.797000Z,2023-08-23T16:36:49.984000,2023-08-23T16:36:49.911030Z,1115,CRSWQ1W7,1817,60,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
64e63110ecf6594d9e5f10f0,5dd00a19b51b3e103a6f50c8,APPROVED,2023-08-23T16:17:33.410000Z,2023-08-23T16:41:17.740000Z,2023-08-23T16:41:18.359000,2023-08-23T16:41:18.287914Z,1425,CRSWQ1W7,2414,50,Female,White,United States,United States,United States,English,No,Other
64e631262f05337263b902c5,5ea45eb9abef8a07bcced2bc,APPROVED,2023-08-23T16:17:48.340000Z,2023-08-23T16:33:37.345000Z,2023-08-23T16:33:38.068000,2023-08-23T16:33:37.974964Z,950,CRSWQ1W7,4056,75,Female,White,United States,United States,United States,English,No,Other
64e6314203d1842931f5cd1b,63bdd672ae45420622d31c97,APPROVED,2023-08-23T16:18:14.220000Z,2023-08-23T16:27:35.371000Z,2023-08-23T16:27:36.476000,2023-08-23T16:27:36.402486Z,562,CRSWQ1W7,441,48,Female,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
